id_code,experiment,plate,well,sirna
HEPG2-06_4_O19,HEPG2-06,4,O19,sirna_175
HUVEC-02_3_I11,HUVEC-02,3,I11,sirna_868
HEPG2-06_2_N20,HEPG2-06,2,N20,sirna_466
HUVEC-03_4_L20,HUVEC-03,4,L20,sirna_243
HEPG2-02_2_B14,HEPG2-02,2,B14,sirna_705
HEPG2-03_1_B18,HEPG2-03,1,B18,sirna_292
HUVEC-08_4_F05,HUVEC-08,4,F05,sirna_388
HUVEC-06_2_N14,HUVEC-06,2,N14,sirna_128
U2OS-01_4_L12,U2OS-01,4,L12,sirna_276
HUVEC-12_1_N16,HUVEC-12,1,N16,sirna_754
HEPG2-05_4_K14,HEPG2-05,4,K14,sirna_319
HUVEC-06_2_I22,HUVEC-06,2,I22,sirna_792
HUVEC-11_1_K12,HUVEC-11,1,K12,sirna_747
HUVEC-02_1_C13,HUVEC-02,1,C13,sirna_593
RPE-01_2_G05,RPE-01,2,G05,sirna_255
HUVEC-15_2_O05,HUVEC-15,2,O05,sirna_17
RPE-05_2_L11,RPE-05,2,L11,sirna_49
RPE-05_2_I02,RPE-05,2,I02,sirna_697
RPE-05_1_I19,RPE-05,1,I19,sirna_425
HEPG2-05_3_N23,HEPG2-05,3,N23,sirna_955
HEPG2-05_2_L04,HEPG2-05,2,L04,sirna_127
RPE-05_1_L15,RPE-05,1,L15,sirna_1127
HUVEC-06_4_M04,HUVEC-06,4,M04,sirna_583
HUVEC-07_2_C04,HUVEC-07,2,C04,sirna_940
HUVEC-07_3_B22,HUVEC-07,3,B22,sirna_1066
RPE-07_1_G13,RPE-07,1,G13,sirna_880
U2OS-01_1_I06,U2OS-01,1,I06,sirna_994
RPE-04_1_L10,RPE-04,1,L10,sirna_930
HUVEC-04_2_N15,HUVEC-04,2,N15,sirna_56
HUVEC-06_4_K07,HUVEC-06,4,K07,sirna_1128
HEPG2-03_1_K15,HEPG2-03,1,K15,sirna_90
HUVEC-15_3_D03,HUVEC-15,3,D03,sirna_582
HUVEC-15_3_B06,HUVEC-15,3,B06,sirna_1036
HUVEC-15_2_O19,HUVEC-15,2,O19,sirna_656
RPE-02_1_D12,RPE-02,1,D12,sirna_602
HUVEC-16_3_L21,HUVEC-16,3,L21,sirna_383
HUVEC-06_4_N09,HUVEC-06,4,N09,sirna_299
HUVEC-11_2_B22,HUVEC-11,2,B22,sirna_686
RPE-04_4_B20,RPE-04,4,B20,sirna_563
RPE-07_2_E05,RPE-07,2,E05,sirna_1076
HUVEC-14_4_H14,HUVEC-14,4,H14,sirna_1032
RPE-06_2_O22,RPE-06,2,O22,sirna_787
HUVEC-02_4_K20,HUVEC-02,4,K20,sirna_761
RPE-06_1_G20,RPE-06,1,G20,sirna_481
HUVEC-06_1_L21,HUVEC-06,1,L21,sirna_327
HUVEC-16_1_F06,HUVEC-16,1,F06,sirna_622
HUVEC-13_3_I05,HUVEC-13,3,I05,sirna_919
HUVEC-07_4_G14,HUVEC-07,4,G14,sirna_216
HUVEC-10_3_O23,HUVEC-10,3,O23,sirna_945
U2OS-01_1_O09,U2OS-01,1,O09,sirna_293
RPE-07_4_G03,RPE-07,4,G03,sirna_114
HUVEC-09_4_H23,HUVEC-09,4,H23,sirna_163
HEPG2-07_1_J21,HEPG2-07,1,J21,sirna_437
HEPG2-03_3_N18,HEPG2-03,3,N18,sirna_681
HUVEC-02_4_M21,HUVEC-02,4,M21,sirna_507
HEPG2-05_2_K18,HEPG2-05,2,K18,sirna_710
HUVEC-13_3_O07,HUVEC-13,3,O07,sirna_189
HUVEC-08_1_G21,HUVEC-08,1,G21,sirna_334
U2OS-02_2_N14,U2OS-02,2,N14,sirna_878
HUVEC-14_3_K14,HUVEC-14,3,K14,sirna_104
HUVEC-06_1_I04,HUVEC-06,1,I04,sirna_854
RPE-05_3_L23,RPE-05,3,L23,sirna_596
HUVEC-05_3_I11,HUVEC-05,3,I11,sirna_190
HUVEC-04_3_H23,HUVEC-04,3,H23,sirna_338
